edad;ingresos;genero;ciudad;educacion
18;59191633;Masculino;PEREIRA;Pregrado
22;62137794;Masculino;BUCARAMANGA;Postgrado
43;94392392;Masculino;MANIZALES;Postgrado
31;57242228;Femenino;BARRANQUILLA;Secundaria
56;45927082;Masculino;BUCARAMANGA;Postgrado
44;50865004;Masculino;BARRANQUILLA;Secundaria
26;15059094;Masculino;CALI;Postgrado
32;43561114;Femenino;PEREIRA;Postgrado
32;67423676;Femenino;BARRANQUILLA;Postgrado
43;31338221;Femenino;CUCUTA;Postgrado
59;50545283;Femenino;BUCARAMANGA;Postgrado
30;63129876;Masculino;MEDELLIN;Secundaria
68;61369028;Femenino;BUCARAMANGA;Postgrado
49;13228117;Masculino;CALI;Pregrado
56;36301227;Masculino;BOGOTA;Pregrado
66;60283245;Masculino;BARRANQUILLA;Postgrado
69;96251065;Masculino;MEDELLIN;Secundaria
49;6934576;Masculino;BARRANQUILLA;Postgrado
21;97122984;Femenino;BOGOTA;Postgrado
47;74676626;Femenino;BARRANQUILLA;Secundaria
54;27534358;Femenino;MANIZALES;Pregrado
40;69323792;Femenino;CARTAGENA;Pregrado
56;41014278;Masculino;MEDELLIN;Pregrado
62;83124500;Femenino;CARTAGENA;Pregrado
32;79542847;Femenino;MANIZALES;Pregrado
60;64800680;Masculino;BOGOTA;Pregrado
46;42657733;Femenino;BUCARAMANGA;Pregrado
53;70235530;Femenino;CUCUTA;Secundaria
30;94176674;Femenino;BARRANQUILLA;Pregrado
49;65558675;Masculino;BOGOTA;Secundaria
24;39879086;Femenino;BUCARAMANGA;Postgrado
68;6985512;Masculino;BUCARAMANGA;Pregrado
39;70994630;Femenino;MANIZALES;Secundaria
45;54297497;Masculino;BARRANQUILLA;Postgrado
19;29094621;Masculino;BUCARAMANGA;Pregrado
59;40963542;Femenino;BARRANQUILLA;Secundaria
62;96445558;Masculino;CUCUTA;Pregrado
23;42360516;Masculino;MEDELLIN;Postgrado
45;96035951;Masculino;CARTAGENA;Postgrado
45;83323965;Femenino;MEDELLIN;Postgrado
61;65552422;Masculino;BARRANQUILLA;Secundaria
61;84472258;Femenino;BUCARAMANGA;Pregrado
37;58876178;Masculino;MEDELLIN;Pregrado
47;91097629;Femenino;CALI;Secundaria
28;5638272;Masculino;PEREIRA;Pregrado
45;56009988;Masculino;MEDELLIN;Secundaria
42;24559882;Femenino;MEDELLIN;Pregrado
56;71602488;Femenino;PEREIRA;Secundaria
50;32383279;Masculino;BOGOTA;Secundaria
18;22169985;Femenino;BOGOTA;Postgrado
44;5364975;Masculino;PEREIRA;Pregrado
69;22450803;Femenino;SANTA MARTA;Secundaria
30;97170929;Femenino;CALI;Postgrado
58;97399355;Femenino;MANIZALES;Postgrado
20;63287310;Masculino;CALI;Pregrado
56;16130681;Femenino;MEDELLIN;Pregrado
23;34018808;Femenino;PEREIRA;Secundaria
25;40564926;Masculino;BOGOTA;Secundaria
44;18541129;Femenino;BUCARAMANGA;Secundaria
26;78337082;Femenino;CUCUTA;Pregrado
54;5562427;Masculino;BARRANQUILLA;Postgrado
50;31015477;Femenino;MANIZALES;Postgrado
68;72450225;Femenino;BOGOTA;Postgrado
59;52567901;Masculino;CALI;Postgrado
61;85683108;Femenino;BOGOTA;Secundaria
41;34897952;Masculino;PEREIRA;Pregrado
32;32843561;Femenino;BOGOTA;Secundaria
49;82819927;Masculino;PEREIRA;Pregrado
49;97283139;Masculino;SANTA MARTA;Postgrado
41;81834950;Masculino;MANIZALES;Postgrado
58;22066521;Femenino;BUCARAMANGA;Pregrado
69;78668392;Femenino;CALI;Secundaria
66;2077532;Masculino;SANTA MARTA;Pregrado
66;90548463;Femenino;PEREIRA;Pregrado
69;97591346;Femenino;CUCUTA;Pregrado
29;78887847;Femenino;CUCUTA;Postgrado
56;14879006;Femenino;BARRANQUILLA;Postgrado
19;37462359;Femenino;CARTAGENA;Pregrado
20;10319394;Femenino;MEDELLIN;Pregrado
66;70197346;Femenino;BUCARAMANGA;Postgrado
54;1037955;Femenino;CARTAGENA;Pregrado
66;31419083;Masculino;CARTAGENA;Postgrado
34;78008967;Femenino;CARTAGENA;Pregrado
66;88009172;Masculino;BARRANQUILLA;Pregrado
19;30831346;Femenino;MEDELLIN;Secundaria
19;52470888;Masculino;PEREIRA;Secundaria
45;32590826;Masculino;BOGOTA;Postgrado
40;49322106;Masculino;SANTA MARTA;Secundaria
54;37102532;Masculino;PEREIRA;Postgrado
49;6427019;Femenino;CARTAGENA;Pregrado
50;1622629;Femenino;CALI;Postgrado
18;14976273;Femenino;CALI;Postgrado
36;92510807;Masculino;PEREIRA;Pregrado
19;54438872;Masculino;BOGOTA;Postgrado
61;93896210;Femenino;CALI;Secundaria
43;89062377;Masculino;BARRANQUILLA;Postgrado
49;49581826;Femenino;CUCUTA;Pregrado
23;99613883;Masculino;BUCARAMANGA;Postgrado
49;46845714;Masculino;CARTAGENA;Pregrado
21;85941554;Masculino;CARTAGENA;Postgrado
28;10343205;Masculino;MANIZALES;Secundaria
34;4219091;Masculino;CARTAGENA;Postgrado
55;91858112;Femenino;BARRANQUILLA;Secundaria
41;62379992;Masculino;CARTAGENA;Pregrado
22;23266458;Masculino;BUCARAMANGA;Secundaria
69;93832448;Masculino;BUCARAMANGA;Pregrado
51;68879903;Femenino;BUCARAMANGA;Postgrado
23;83771494;Femenino;MANIZALES;Secundaria
39;98597903;Femenino;CALI;Secundaria
28;88590544;Masculino;MANIZALES;Pregrado
65;91636434;Femenino;BOGOTA;Secundaria
33;45929758;Masculino;MANIZALES;Pregrado
50;33388792;Masculino;CUCUTA;Secundaria
26;53536403;Masculino;MEDELLIN;Postgrado
23;49163373;Masculino;SANTA MARTA;Postgrado
33;33385648;Femenino;CARTAGENA;Postgrado
46;33196161;Masculino;CARTAGENA;Postgrado
20;79516206;Masculino;CARTAGENA;Secundaria
37;17055503;Femenino;MANIZALES;Secundaria
53;23007083;Masculino;MEDELLIN;Postgrado
36;51885378;Masculino;CUCUTA;Pregrado
43;79143918;Masculino;CARTAGENA;Secundaria
20;93572148;Masculino;MANIZALES;Pregrado
36;61170521;Femenino;CUCUTA;Postgrado
37;67231805;Masculino;BARRANQUILLA;Pregrado
49;73496685;Masculino;MEDELLIN;Postgrado
24;2489188;Femenino;CALI;Postgrado
69;21224636;Masculino;BUCARAMANGA;Pregrado
58;55877393;Femenino;PEREIRA;Pregrado
50;39584690;Masculino;MEDELLIN;Secundaria
57;33523163;Masculino;CARTAGENA;Postgrado
56;98086672;Femenino;CARTAGENA;Pregrado
35;48657876;Femenino;BUCARAMANGA;Secundaria
57;85799670;Femenino;SANTA MARTA;Postgrado
18;44622033;Femenino;CUCUTA;Pregrado
28;21491864;Femenino;CUCUTA;Pregrado
45;88862462;Masculino;CALI;Secundaria
42;49318270;Masculino;BUCARAMANGA;Pregrado
67;18357396;Masculino;BOGOTA;Pregrado
40;17183161;Femenino;BARRANQUILLA;Pregrado
48;3089811;Masculino;BARRANQUILLA;Secundaria
47;42999158;Masculino;PEREIRA;Postgrado
59;43523075;Femenino;MEDELLIN;Pregrado
52;93360625;Masculino;SANTA MARTA;Postgrado
24;3995645;Masculino;MANIZALES;Pregrado
33;84614105;Masculino;BOGOTA;Postgrado
43;96710357;Femenino;CALI;Secundaria
65;22138263;Femenino;BARRANQUILLA;Postgrado
69;46778972;Masculino;SANTA MARTA;Postgrado
66;8622128;Femenino;CALI;Pregrado
19;45944012;Masculino;CARTAGENA;Secundaria
18;12336737;Femenino;PEREIRA;Postgrado
65;58765268;Femenino;MEDELLIN;Postgrado
29;3589270;Masculino;BUCARAMANGA;Postgrado
22;9089547;Masculino;MANIZALES;Secundaria
54;54106686;Femenino;BOGOTA;Secundaria
49;78964054;Femenino;MANIZALES;Secundaria
26;27986874;Masculino;CARTAGENA;Secundaria
58;30918433;Masculino;CALI;Postgrado
52;87920798;Masculino;CUCUTA;Pregrado
36;62338406;Femenino;BOGOTA;Postgrado
65;55104014;Masculino;PEREIRA;Secundaria
33;48110238;Femenino;SANTA MARTA;Postgrado
20;19598438;Femenino;CALI;Postgrado
37;94579396;Masculino;BARRANQUILLA;Secundaria
41;32913217;Femenino;SANTA MARTA;Pregrado
50;60717341;Femenino;MEDELLIN;Pregrado
41;25072833;Femenino;BOGOTA;Postgrado
69;2004346;Masculino;MANIZALES;Secundaria
28;57488266;Femenino;MEDELLIN;Secundaria
66;86844817;Masculino;BOGOTA;Secundaria
25;97187629;Femenino;CALI;Postgrado
53;54546903;Femenino;BUCARAMANGA;Postgrado
55;20819470;Femenino;MANIZALES;Postgrado
57;5055474;Masculino;MANIZALES;Secundaria
37;32589107;Masculino;CARTAGENA;Secundaria
52;94939452;Femenino;CALI;Secundaria
65;97191739;Femenino;MANIZALES;Pregrado
42;35035167;Femenino;MEDELLIN;Pregrado
52;12743619;Femenino;MANIZALES;Pregrado
42;33206824;Masculino;BARRANQUILLA;Postgrado
46;28832232;Femenino;BARRANQUILLA;Postgrado
35;33494510;Femenino;MEDELLIN;Pregrado
63;16479386;Masculino;MANIZALES;Postgrado
35;66534767;Femenino;MANIZALES;Secundaria
19;76655304;Femenino;CALI;Secundaria
52;47827611;Masculino;PEREIRA;Postgrado
33;15179248;Femenino;MEDELLIN;Pregrado
58;86472479;Femenino;BARRANQUILLA;Pregrado
53;91241574;Masculino;BARRANQUILLA;Pregrado
50;86762580;Femenino;PEREIRA;Secundaria
21;49490036;Femenino;CARTAGENA;Secundaria
50;36400248;Masculino;MANIZALES;Postgrado
31;84188929;Masculino;MANIZALES;Secundaria
38;53789608;Masculino;BOGOTA;Pregrado
65;89678044;Femenino;MEDELLIN;Pregrado
37;7310431;Masculino;MANIZALES;Secundaria
25;20511949;Femenino;SANTA MARTA;Secundaria
24;39376388;Femenino;SANTA MARTA;Postgrado
20;51356412;Masculino;BUCARAMANGA;Secundaria
34;93670977;Masculino;BUCARAMANGA;Pregrado
50;84279713;Masculino;SANTA MARTA;Secundaria
65;92718036;Masculino;BUCARAMANGA;Pregrado
29;99377619;Femenino;MEDELLIN;Postgrado
68;11872798;Femenino;BUCARAMANGA;Secundaria
39;92092161;Femenino;BARRANQUILLA;Pregrado
39;3745747;Masculino;BUCARAMANGA;Pregrado
63;33992873;Masculino;CUCUTA;Pregrado
47;1420582;Femenino;SANTA MARTA;Pregrado
55;40351344;Masculino;BARRANQUILLA;Postgrado
55;24645791;Femenino;BARRANQUILLA;Secundaria
62;51654166;Masculino;CUCUTA;Secundaria
68;22392234;Masculino;MANIZALES;Pregrado
25;19089980;Masculino;MANIZALES;Pregrado
44;83460585;Masculino;SANTA MARTA;Secundaria
44;45535190;Femenino;CARTAGENA;Pregrado
51;11279062;Masculino;CUCUTA;Secundaria
38;30831313;Femenino;MEDELLIN;Postgrado
47;24777780;Masculino;BUCARAMANGA;Secundaria
50;68376239;Masculino;BARRANQUILLA;Postgrado
45;83667464;Femenino;CALI;Postgrado
64;64870749;Masculino;BOGOTA;Pregrado
50;59381403;Femenino;BOGOTA;Postgrado
22;47742651;Masculino;CUCUTA;Postgrado
65;94048214;Masculino;MEDELLIN;Postgrado
36;78117985;Femenino;SANTA MARTA;Postgrado
21;37499882;Masculino;SANTA MARTA;Secundaria
52;56319840;Femenino;CALI;Postgrado
66;75590940;Masculino;SANTA MARTA;Secundaria
34;35922960;Masculino;PEREIRA;Pregrado
61;91950650;Femenino;MANIZALES;Secundaria
45;59544775;Femenino;PEREIRA;Postgrado
47;87757106;Masculino;BUCARAMANGA;Secundaria
46;35206403;Femenino;CARTAGENA;Pregrado
63;92467731;Masculino;BARRANQUILLA;Pregrado
23;94676384;Femenino;CARTAGENA;Postgrado
52;28265565;Femenino;SANTA MARTA;Pregrado
58;51378072;Masculino;BARRANQUILLA;Pregrado
54;82010726;Femenino;SANTA MARTA;Pregrado
41;95896979;Masculino;SANTA MARTA;Postgrado
46;27757375;Femenino;MANIZALES;Pregrado
66;1364503;Masculino;CUCUTA;Secundaria
63;74850934;Masculino;CARTAGENA;Secundaria
48;86530037;Masculino;MEDELLIN;Secundaria
52;98647722;Femenino;BARRANQUILLA;Secundaria
50;58290725;Masculino;CALI;Secundaria
69;55076779;Masculino;MANIZALES;Pregrado
38;64490721;Masculino;SANTA MARTA;Secundaria
49;85668931;Masculino;BARRANQUILLA;Secundaria
40;73888988;Masculino;CUCUTA;Secundaria
50;14896095;Masculino;CUCUTA;Postgrado
20;12325988;Masculino;MEDELLIN;Postgrado
35;27865803;Femenino;SANTA MARTA;Secundaria
42;30348980;Masculino;BARRANQUILLA;Secundaria
59;29129096;Masculino;CALI;Pregrado
48;47561168;Masculino;MEDELLIN;Postgrado
20;69676645;Femenino;MANIZALES;Pregrado
57;70603013;Masculino;PEREIRA;Pregrado
63;36932567;Femenino;BARRANQUILLA;Secundaria
41;57525927;Masculino;MANIZALES;Pregrado
67;57407333;Masculino;BOGOTA;Secundaria
49;37452944;Masculino;BUCARAMANGA;Postgrado
64;93768194;Masculino;MANIZALES;Secundaria
39;67993930;Femenino;PEREIRA;Pregrado
40;6762039;Masculino;BOGOTA;Pregrado
19;59671638;Femenino;BARRANQUILLA;Pregrado
44;42790450;Femenino;BUCARAMANGA;Secundaria
59;85691273;Femenino;BOGOTA;Pregrado
19;61494244;Femenino;MANIZALES;Postgrado
43;84905092;Femenino;CARTAGENA;Pregrado
34;21600496;Masculino;CALI;Secundaria
57;75255992;Femenino;MANIZALES;Secundaria
50;22879051;Masculino;BOGOTA;Postgrado
26;36434535;Femenino;CALI;Secundaria
60;60194888;Femenino;BUCARAMANGA;Pregrado
65;70257891;Femenino;BUCARAMANGA;Pregrado
56;77904467;Femenino;MANIZALES;Secundaria
46;75908819;Masculino;BOGOTA;Postgrado
59;83137368;Masculino;MANIZALES;Pregrado
43;45712799;Masculino;CARTAGENA;Postgrado
52;15282650;Masculino;MANIZALES;Postgrado
67;49123098;Femenino;SANTA MARTA;Secundaria
42;35766944;Masculino;BARRANQUILLA;Pregrado
41;98460298;Masculino;MEDELLIN;Pregrado
30;33883089;Masculino;BUCARAMANGA;Postgrado
24;74769988;Femenino;PEREIRA;Pregrado
53;97575907;Masculino;BOGOTA;Pregrado
62;38786137;Femenino;MANIZALES;Pregrado
37;45031747;Masculino;BUCARAMANGA;Secundaria
18;30278665;Masculino;SANTA MARTA;Pregrado
25;55770441;Masculino;BOGOTA;Secundaria
63;64292615;Masculino;MANIZALES;Pregrado
33;54567205;Femenino;BUCARAMANGA;Pregrado
31;18599838;Femenino;PEREIRA;Pregrado
29;48224478;Femenino;PEREIRA;Postgrado
68;49006047;Masculino;MANIZALES;Pregrado
40;35590520;Masculino;BOGOTA;Postgrado
32;53537793;Femenino;BARRANQUILLA;Postgrado
45;36404521;Masculino;CALI;Postgrado
51;95972754;Femenino;PEREIRA;Postgrado
19;65190689;Masculino;BOGOTA;Secundaria
49;51182375;Femenino;BARRANQUILLA;Postgrado
40;78383895;Femenino;MEDELLIN;Secundaria
39;71824021;Femenino;MEDELLIN;Postgrado
68;4287228;Masculino;CUCUTA;Secundaria
42;64515223;Masculino;MEDELLIN;Pregrado
39;99887804;Masculino;CALI;Secundaria
39;39097367;Masculino;SANTA MARTA;Pregrado
66;48777299;Femenino;CUCUTA;Secundaria
69;47266200;Masculino;MEDELLIN;Postgrado
59;90899536;Femenino;MEDELLIN;Pregrado
23;76401131;Masculino;MEDELLIN;Postgrado
32;72384400;Femenino;CALI;Postgrado
60;85385579;Femenino;CUCUTA;Secundaria
54;21651169;Masculino;MEDELLIN;Postgrado
50;33203974;Masculino;MANIZALES;Postgrado
25;34612523;Femenino;BARRANQUILLA;Postgrado
61;74521482;Femenino;BARRANQUILLA;Secundaria
61;82608168;Masculino;MEDELLIN;Pregrado
22;60953139;Femenino;MEDELLIN;Postgrado
56;48533570;Femenino;BARRANQUILLA;Secundaria
21;37903469;Femenino;PEREIRA;Secundaria
23;36660831;Masculino;CUCUTA;Secundaria
62;76210782;Masculino;PEREIRA;Postgrado
49;49237538;Masculino;MANIZALES;Postgrado
69;17302671;Femenino;BOGOTA;Secundaria
47;83889980;Femenino;MANIZALES;Postgrado
64;86552272;Masculino;CALI;Secundaria
52;19250228;Masculino;MANIZALES;Pregrado
57;97469328;Masculino;BUCARAMANGA;Postgrado
69;52913465;Femenino;PEREIRA;Secundaria
33;73048767;Masculino;CARTAGENA;Pregrado
30;47424024;Masculino;BOGOTA;Pregrado
67;61496203;Femenino;MEDELLIN;Secundaria
59;92280746;Femenino;BUCARAMANGA;Secundaria
47;33773070;Femenino;SANTA MARTA;Secundaria
36;78291829;Masculino;MEDELLIN;Secundaria
34;58939655;Femenino;MANIZALES;Secundaria
36;58904798;Masculino;BOGOTA;Postgrado
45;99538966;Femenino;BARRANQUILLA;Pregrado
43;18862791;Femenino;BARRANQUILLA;Pregrado
54;62655398;Masculino;BUCARAMANGA;Postgrado
43;13875600;Masculino;PEREIRA;Secundaria
40;32039426;Masculino;PEREIRA;Postgrado
26;61196017;Femenino;BUCARAMANGA;Pregrado
29;89104581;Femenino;SANTA MARTA;Postgrado
18;91597432;Femenino;SANTA MARTA;Secundaria
18;13282368;Masculino;BUCARAMANGA;Pregrado
64;73313906;Masculino;BARRANQUILLA;Pregrado
51;61815913;Femenino;BUCARAMANGA;Pregrado
49;89009261;Femenino;CARTAGENA;Postgrado
65;95479874;Femenino;CALI;Secundaria
42;2017550;Femenino;MANIZALES;Pregrado
57;37563459;Masculino;SANTA MARTA;Postgrado
62;95006504;Masculino;BARRANQUILLA;Postgrado
18;47246175;Femenino;MANIZALES;Postgrado
33;12026759;Masculino;CUCUTA;Secundaria
56;43109478;Masculino;CALI;Pregrado
22;6502143;Femenino;CARTAGENA;Secundaria
39;43321085;Femenino;CARTAGENA;Secundaria
46;83479752;Femenino;PEREIRA;Postgrado
20;98940456;Masculino;MANIZALES;Secundaria
29;87388737;Masculino;CARTAGENA;Postgrado
43;39727347;Masculino;BARRANQUILLA;Postgrado
33;56016495;Masculino;CUCUTA;Pregrado
68;74128878;Femenino;CALI;Postgrado
54;87656886;Femenino;MEDELLIN;Pregrado
39;79674887;Femenino;BOGOTA;Secundaria
46;36256291;Femenino;CUCUTA;Postgrado
31;4594718;Femenino;CUCUTA;Secundaria
45;87067270;Femenino;BOGOTA;Postgrado
22;92273696;Femenino;BUCARAMANGA;Secundaria
64;21104908;Masculino;CARTAGENA;Pregrado
66;73033432;Femenino;CALI;Postgrado
47;42950229;Masculino;BUCARAMANGA;Postgrado
63;73960143;Masculino;BARRANQUILLA;Secundaria
69;18109520;Femenino;BOGOTA;Pregrado
22;58829071;Masculino;MANIZALES;Secundaria
29;3577302;Masculino;CARTAGENA;Pregrado
33;74403085;Masculino;CALI;Postgrado
43;57072031;Masculino;SANTA MARTA;Pregrado
43;38074004;Femenino;BARRANQUILLA;Pregrado
65;43269229;Masculino;CARTAGENA;Secundaria
38;7444883;Femenino;BOGOTA;Pregrado
56;14740989;Masculino;MEDELLIN;Postgrado
53;36911378;Masculino;BUCARAMANGA;Secundaria
50;19092836;Femenino;CARTAGENA;Postgrado
47;66216390;Femenino;BARRANQUILLA;Pregrado
54;6707130;Masculino;PEREIRA;Secundaria
40;29972313;Femenino;MEDELLIN;Secundaria
27;61214527;Femenino;MEDELLIN;Pregrado
22;79556228;Femenino;BOGOTA;Postgrado
53;35297236;Femenino;BUCARAMANGA;Postgrado
51;24411524;Femenino;BUCARAMANGA;Pregrado
69;36349362;Masculino;SANTA MARTA;Secundaria
48;64141221;Femenino;MANIZALES;Postgrado
27;69051869;Masculino;BARRANQUILLA;Pregrado
36;72599727;Masculino;PEREIRA;Pregrado
49;73897927;Masculino;MEDELLIN;Secundaria
18;70327592;Femenino;BUCARAMANGA;Secundaria
22;58594037;Masculino;CUCUTA;Pregrado
62;69232030;Femenino;SANTA MARTA;Postgrado
21;67032959;Femenino;MEDELLIN;Pregrado
33;1151266;Femenino;CUCUTA;Pregrado
41;16484468;Masculino;CUCUTA;Postgrado
33;19335838;Femenino;MANIZALES;Secundaria
19;29369235;Masculino;PEREIRA;Secundaria
66;82575808;Femenino;BUCARAMANGA;Pregrado
45;96065367;Masculino;BARRANQUILLA;Secundaria
49;79701895;Masculino;CUCUTA;Secundaria
44;44589179;Femenino;CUCUTA;Pregrado
37;88070449;Femenino;BARRANQUILLA;Secundaria
41;32780217;Femenino;SANTA MARTA;Postgrado
29;80755571;Masculino;BOGOTA;Pregrado
67;63906462;Femenino;PEREIRA;Secundaria
52;54849203;Masculino;BARRANQUILLA;Postgrado
50;81409954;Masculino;MEDELLIN;Secundaria
50;8865955;Masculino;SANTA MARTA;Postgrado
