PassengerId;Pclass;Name;Sex;Age;SibSp;Parch;Ticket;Fare;Cabin;Embarked;Survived
26;1;Passenger 26;male;37.6;3;2;Ticket 26;47.077.806.498.218.200;F33;C;0
27;1;Passenger 27;male;49.1;0;2;Ticket 27;24.575.418.990.844.800;D56;Q;0
28;3;Passenger 28;male;1.5;3;0;Ticket 28;23.399.653.960.719.600;B12;S;1
29;3;Passenger 29;female;79.2;0;2;Ticket 29;3.936.105.714.739.380;G7;S;1
30;3;Passenger 30;male;29.8;4;3;Ticket 30;4.116.809.574.216.140;G7;S;0
31;2;Passenger 31;male;68.0;1;3;Ticket 31;27.947.211.158.897.900;F33;C;0
32;3;Passenger 32;male;43.3;2;3;Ticket 32;9.399.991.768.006.230;E34;C;0
33;2;Passenger 33;male;11.3;1;4;Ticket 33;23.654.032.432.400.100;D56;C;0
34;2;Passenger 34;female;64.0;4;2;Ticket 34;4.841.958.889.402.900;F33;S;0
35;3;Passenger 35;male;57.1;0;0;Ticket 35;37.772.816.555.439.600;G7;Q;1
36;2;Passenger 36;male;42.7;1;0;Ticket 36;40.652.548.892.017.000;D56;S;0
37;3;Passenger 37;female;41.6;4;4;Ticket 37;21.248.621.915.523.800;D56;Q;0
38;3;Passenger 38;female;7.9;3;0;Ticket 38;23.659.043.400.390.900;G7;S;0
39;1;Passenger 39;female;52.8;2;3;Ticket 39;3.250.774.611.604.890;E34;Q;1
40;3;Passenger 40;male;73.0;1;2;Ticket 40;41.586.617.839.589.600;E34;S;1
41;1;Passenger 41;male;8.4;0;0;Ticket 41;29.390.458.523.471.800;G7;S;0
42;3;Passenger 42;female;21.8;3;0;Ticket 42;4.269.572.483.927.270;D56;Q;0
43;3;Passenger 43;female;72.3;4;1;Ticket 43;2.764.584.636.872.460;F33;Q;0
44;1;Passenger 44;female;23.5;2;1;Ticket 44;10.267.041.543.514.900;C85;Q;0
45;1;Passenger 45;female;52.7;0;1;Ticket 45;1.620.413.321.426.010;;Q;0
46;3;Passenger 46;female;43.3;4;2;Ticket 46;14.455.512.811.702.200;E34;Q;0
47;2;Passenger 47;female;48.1;4;3;Ticket 47;2.677.752.219.727.950;G7;Q;0
48;1;Passenger 48;male;33.8;1;3;Ticket 48;30.584.411.556.010.200;C85;Q;0
49;2;Passenger 49;male;24.7;1;3;Ticket 49;8.347.539.845.746.210;E34;Q;0
50;2;Passenger 50;male;4.8;0;2;Ticket 50;4.072.830.564.710.120;D56;S;1
51;2;Passenger 51;female;59.8;4;2;Ticket 51;7.063.897.541.967.140;G7;Q;0
52;1;Passenger 52;female;59.9;1;1;Ticket 52;12.053.115.338.177.200;C85;Q;1
53;2;Passenger 53;female;54.0;2;0;Ticket 53;22.941.844.977.405.700;G7;S;0
54;1;Passenger 54;female;51.8;2;4;Ticket 54;26.097.483.961.609.800;F33;S;0
55;2;Passenger 55;female;20.3;4;4;Ticket 55;3.829.871.874.090.080;F33;C;0
56;3;Passenger 56;female;2.8;1;0;Ticket 56;22.642.955.119.976.200;B12;C;1
57;3;Passenger 57;male;64.9;0;1;Ticket 57;3.959.829.874.125.910;;Q;0
58;1;Passenger 58;male;39.8;0;0;Ticket 58;3.110.814.219.875.010;;Q;0
59;3;Passenger 59;female;25.2;0;0;Ticket 59;6.098.437.101.479.210;E34;C;0
60;3;Passenger 60;male;9.1;2;4;Ticket 60;823.840.620.044.551;;C;0
61;2;Passenger 61;female;6.0;1;1;Ticket 61;22.133.169.409.763.600;G7;Q;1
62;1;Passenger 62;male;28.6;1;2;Ticket 62;2.014.602.495.790.740;G7;C;0
63;2;Passenger 63;female;64.6;2;4;Ticket 63;3.730.544.134.704.600;B12;Q;0
64;2;Passenger 64;female;73.6;0;2;Ticket 64;29.246.488.419.968.900;F33;S;0
65;2;Passenger 65;male;71.8;0;1;Ticket 65;19.712.587.509.611.300;C85;S;1
66;2;Passenger 66;male;73.7;4;0;Ticket 66;8.952.634.030.794.080;C85;C;0
67;2;Passenger 67;female;72.7;3;3;Ticket 67;1.172.843.656.511.200;F33;S;1
68;2;Passenger 68;female;42.7;1;3;Ticket 68;2.898.730.041.421.840;D56;S;1
69;2;Passenger 69;male;18.3;1;1;Ticket 69;21.460.220.842.539.700;F33;S;0
70;1;Passenger 70;male;64.0;1;3;Ticket 70;25.988.911.688.603.200;C85;S;0
71;3;Passenger 71;female;17.9;3;2;Ticket 71;8.948.533.047.460.560;E34;Q;0
72;2;Passenger 72;male;22.1;4;3;Ticket 72;3.331.385.949.105.600;B12;Q;1
73;2;Passenger 73;female;19.4;3;1;Ticket 73;42.700.667.672.370.300;F33;C;0
74;2;Passenger 74;female;41.7;0;1;Ticket 74;1.326.800.558.595.150;D56;S;0
75;2;Passenger 75;female;26.4;0;2;Ticket 75;24.829.954.178.675.400;E34;S;1
76;2;Passenger 76;female;13.2;1;3;Ticket 76;48.788.602.786.534.600;F33;S;0
77;2;Passenger 77;male;36.8;2;3;Ticket 77;16.995.466.157.261.000;E34;C;0
78;3;Passenger 78;male;70.0;1;0;Ticket 78;2.995.479.407.372.610;F33;Q;0
79;3;Passenger 79;male;46.1;2;4;Ticket 79;4.964.687.159.912.090;E34;S;0
80;2;Passenger 80;male;70.4;3;1;Ticket 80;3.049.774.262.273.240;G7;Q;0
81;3;Passenger 81;male;16.5;0;0;Ticket 81;4.936.772.778.578.580;;C;0
82;1;Passenger 82;male;14.2;2;1;Ticket 82;4.798.215.404.852.910;E34;Q;1
83;2;Passenger 83;male;46.5;3;0;Ticket 83;35.925.301.277.579.400;G7;S;0
84;1;Passenger 84;female;37.6;0;4;Ticket 84;3.951.390.951.271.740;;Q;1
85;1;Passenger 85;male;53.2;2;0;Ticket 85;35.353.165.858.196.000;C85;Q;0
86;2;Passenger 86;male;63.8;1;1;Ticket 86;29.691.587.285.785.000;;C;0
87;3;Passenger 87;female;60.4;1;3;Ticket 87;22.770.682.663.732.500;E34;C;1
88;1;Passenger 88;male;75.4;1;1;Ticket 88;4.298.948.229.817.250;B12;C;0
89;2;Passenger 89;male;32.5;3;2;Ticket 89;4.786.336.554.338.160;B12;C;1
90;1;Passenger 90;female;17.3;1;2;Ticket 90;25.202.290.558.752.000;C85;Q;1
91;1;Passenger 91;male;44.5;4;2;Ticket 91;46.610.984.933.185.400;E34;Q;0
92;1;Passenger 92;male;9.7;0;2;Ticket 92;29.374.979.044.431.600;;C;0
93;1;Passenger 93;male;23.8;3;4;Ticket 93;2.715.001.725.137.340;B12;C;0
94;3;Passenger 94;female;17.4;1;3;Ticket 94;22.996.895.281.290.100;F33;S;0
95;1;Passenger 95;male;32.3;0;3;Ticket 95;10.859.744.195.740.900;D56;S;0
96;1;Passenger 96;male;9.8;2;1;Ticket 96;6.841.232.104.939.290;E34;C;0
97;1;Passenger 97;female;3.5;1;0;Ticket 97;12.454.558.229.375.000;G7;Q;0
98;3;Passenger 98;male;52.9;0;1;Ticket 98;25.731.296.994.376.400;G7;C;0
99;1;Passenger 99;female;49.2;4;1;Ticket 99;1.930.801.763.685.770;F33;Q;1
100;1;Passenger 100;female;57.0;2;1;Ticket 100;22.700.018.786.130.300;F33;Q;1
101;3;Passenger 101;male;53.2;4;1;Ticket 101;49.042.086.868.420.400;E34;S;0
102;3;Passenger 102;female;10.0;0;3;Ticket 102;17.838.482.348.131.700;D56;C;1
103;3;Passenger 103;female;24.0;4;0;Ticket 103;22.883.055.498.325.300;B12;C;0
104;1;Passenger 104;male;11.2;0;1;Ticket 104;7.109.019.791.964.560;D56;Q;0
105;3;Passenger 105;female;67.6;0;3;Ticket 105;28.739.077.556.308.800;C85;C;0
106;3;Passenger 106;female;60.0;4;1;Ticket 106;38.882.770.972.328.400;;S;0
107;1;Passenger 107;male;16.9;0;2;Ticket 107;2.874.881.716.606.290;;S;0
108;3;Passenger 108;male;28.0;1;1;Ticket 108;38.154.887.899.172.800;F33;C;1
109;1;Passenger 109;male;77.4;0;1;Ticket 109;7.918.208.544.884.300;B12;C;1
110;2;Passenger 110;female;47.9;3;4;Ticket 110;288.055.241.735.432;D56;S;0
111;3;Passenger 111;male;64.3;0;2;Ticket 111;1.305.530.247.989.800;F33;C;1
112;2;Passenger 112;female;21.9;3;0;Ticket 112;11.789.059.936.550.900;E34;Q;0
113;1;Passenger 113;female;17.6;0;1;Ticket 113;10.705.376.956.227.700;F33;C;0
114;3;Passenger 114;female;62.9;0;0;Ticket 114;6.951.865.816.669.050;E34;Q;1
115;1;Passenger 115;female;55.2;4;2;Ticket 115;1.580.877.151.923.490;E34;C;0
116;2;Passenger 116;female;54.8;1;1;Ticket 116;62.854.986.492.514.800;C85;C;0
117;1;Passenger 117;female;44.7;1;4;Ticket 117;4.929.999.280.034.140;C85;S;0
118;3;Passenger 118;female;45.5;2;3;Ticket 118;15.777.316.101.935.500;E34;Q;0
119;3;Passenger 119;male;59.1;4;4;Ticket 119;6.951.035.361.765.240;B12;S;0
120;2;Passenger 120;male;22.3;4;4;Ticket 120;10.354.574.484.983.900;C85;C;0
121;1;Passenger 121;female;28.9;1;3;Ticket 121;29.591.309.802.903.000;C85;S;0
122;3;Passenger 122;female;69.9;4;3;Ticket 122;36.701.544.313.070.300;;C;0
123;2;Passenger 123;male;25.4;1;3;Ticket 123;4.319.048.944.198.720;F33;C;0
124;3;Passenger 124;female;44.2;4;1;Ticket 124;48.094.234.122.238.700;;C;0
125;3;Passenger 125;male;56.5;0;0;Ticket 125;12.713.997.323.035.300;B12;Q;1
126;1;Passenger 126;male;80.0;1;0;Ticket 126;22.779.715.795.247.500;C85;Q;0
127;3;Passenger 127;male;35.4;1;3;Ticket 127;1.595.655.325.960.100;G7;Q;0
128;1;Passenger 128;female;34.8;3;4;Ticket 128;3.221.515.612.399.740;C85;S;0
129;3;Passenger 129;female;67.6;4;2;Ticket 129;2.098.933.987.360.310;D56;C;0
130;2;Passenger 130;male;64.6;4;3;Ticket 130;13.867.894.072.027.000;B12;S;0
131;3;Passenger 131;male;58.8;1;4;Ticket 131;1.073.843.697.552.210;G7;S;0
132;1;Passenger 132;male;37.6;0;4;Ticket 132;3.287.414.234.410.860;F33;C;1
133;1;Passenger 133;male;26.6;0;1;Ticket 133;21.102.743.036.099.500;F33;S;1
134;2;Passenger 134;male;49.1;0;1;Ticket 134;9.393.134.806.980.640;G7;C;0
135;3;Passenger 135;female;70.2;4;0;Ticket 135;3.461.089.953.359.770;F33;C;0
136;3;Passenger 136;male;70.8;3;0;Ticket 136;28.471.078.010.316.300;G7;C;0
137;2;Passenger 137;female;9.6;1;2;Ticket 137;4.300.426.671.901.000;B12;C;0
138;3;Passenger 138;male;34.8;2;2;Ticket 138;63.150.569.943.863.900;G7;S;0
139;3;Passenger 139;female;37.7;3;2;Ticket 139;3.939.049.679.625.050;G7;S;1
140;1;Passenger 140;female;78.2;2;2;Ticket 140;33.839.080.947.454.300;D56;S;0
141;3;Passenger 141;female;54.6;3;4;Ticket 141;6.193.041.372.990.840;D56;Q;1
142;3;Passenger 142;female;33.2;0;4;Ticket 142;34.893.626.128.650.100;;S;0
143;2;Passenger 143;female;3.1;4;0;Ticket 143;22.356.590.799.551.600;B12;S;0
144;2;Passenger 144;female;45.7;2;1;Ticket 144;47.276.746.885.014.200;B12;Q;0
145;1;Passenger 145;male;8.6;3;1;Ticket 145;7.509.761.855.586.010;D56;C;0
146;3;Passenger 146;female;66.9;4;3;Ticket 146;3.232.025.284.537.900;E34;C;1
147;3;Passenger 147;male;60.4;2;4;Ticket 147;19.408.012.250.415.800;E34;C;0
148;3;Passenger 148;female;37.4;1;2;Ticket 148;4.786.232.619.424.840;;Q;0
149;1;Passenger 149;female;34.9;3;2;Ticket 149;16.833.757.316.868.600;E34;S;1
150;1;Passenger 150;male;71.9;1;3;Ticket 150;4.812.820.251.984.410;E34;S;1
151;2;Passenger 151;female;23.8;0;1;Ticket 151;4.512.354.962.948.700;E34;S;1
152;1;Passenger 152;male;20.7;1;2;Ticket 152;13.883.970.147.877.400;C85;S;1
153;3;Passenger 153;male;75.2;1;1;Ticket 153;4.027.531.795.290.810;;Q;0
154;3;Passenger 154;male;64.9;3;3;Ticket 154;4.978.240.798.927.350;D56;S;1
155;1;Passenger 155;male;65.8;0;1;Ticket 155;13.006.818.607.478.400;E34;C;1
156;3;Passenger 156;female;16.4;1;1;Ticket 156;22.120.469.881.504.300;F33;Q;1
157;3;Passenger 157;female;12.3;4;1;Ticket 157;26.248.946.460.054.600;G7;Q;1
158;1;Passenger 158;male;3.1;2;2;Ticket 158;15.099.091.222.291.200;C85;C;0
159;1;Passenger 159;female;19.7;1;0;Ticket 159;12.556.095.624.784.700;E34;C;1
160;3;Passenger 160;female;62.2;0;4;Ticket 160;1.139.639.758.777.750;G7;S;0
161;3;Passenger 161;male;20.0;1;1;Ticket 161;14.455.875.774.917.000;G7;C;0
162;3;Passenger 162;female;58.6;2;1;Ticket 162;22.458.185.215.250.200;C85;Q;0
163;2;Passenger 163;male;20.9;0;1;Ticket 163;8.969.572.681.463.390;;Q;1
164;2;Passenger 164;male;32.2;3;0;Ticket 164;43.726.090.656.237.700;F33;Q;0
165;2;Passenger 165;female;78.7;0;3;Ticket 165;35.393.101.070.201.100;F33;S;0
166;1;Passenger 166;female;20.3;3;2;Ticket 166;4.717.423.639.203.260;F33;S;0
167;2;Passenger 167;female;30.7;0;0;Ticket 167;326.795.763.314.266;E34;C;1
168;1;Passenger 168;male;24.8;2;1;Ticket 168;3.285.599.558.207.820;C85;S;0
169;1;Passenger 169;male;9.7;2;0;Ticket 169;4.783.294.809.535.950;F33;S;1
170;2;Passenger 170;female;39.7;0;0;Ticket 170;6.495.331.321.299.810;G7;Q;1
171;2;Passenger 171;female;30.9;1;0;Ticket 171;12.772.656.265.387.400;G7;Q;0
172;2;Passenger 172;female;55.9;2;3;Ticket 172;4.642.567.822.907.810;B12;C;0
173;3;Passenger 173;female;65.6;3;4;Ticket 173;4.664.062.881.221.500;B12;Q;1
174;2;Passenger 174;male;44.0;3;2;Ticket 174;3.616.902.775.884.650;C85;S;1
175;3;Passenger 175;female;3.5;4;3;Ticket 175;3.840.528.439.185.320;E34;C;1
176;1;Passenger 176;male;49.9;3;3;Ticket 176;50.284.064.175.175.300;E34;C;0
177;3;Passenger 177;male;5.4;4;4;Ticket 177;2.593.685.382.152.250;;Q;1
178;2;Passenger 178;female;49.7;0;3;Ticket 178;1.196.335.806.880.540;;Q;0
179;1;Passenger 179;female;55.1;0;0;Ticket 179;9.470.293.158.874.050;F33;Q;0
180;1;Passenger 180;female;16.6;0;0;Ticket 180;40.610.013.306.604.900;D56;C;1
181;1;Passenger 181;male;65.7;1;1;Ticket 181;7.184.387.765.687.090;G7;Q;0
182;3;Passenger 182;female;73.0;1;3;Ticket 182;23.698.256.031.321.000;;S;1
183;2;Passenger 183;female;65.2;4;1;Ticket 183;46.959.622.859.508.600;E34;C;0
184;1;Passenger 184;male;25.1;3;2;Ticket 184;9.698.686.750.484.450;G7;Q;1
185;1;Passenger 185;female;47.3;3;0;Ticket 185;4.891.067.447.504.260;D56;S;0
186;1;Passenger 186;male;73.3;0;2;Ticket 186;49.717.255.295.172.400;;S;0
187;3;Passenger 187;female;26.3;2;4;Ticket 187;28.003.049.156.778.900;C85;Q;1
188;3;Passenger 188;male;65.8;1;0;Ticket 188;8.922.065.638.769.310;B12;S;0
189;2;Passenger 189;female;1.7;1;2;Ticket 189;16.147.191.953.074.300;;C;0
190;3;Passenger 190;female;1.3;0;4;Ticket 190;2.151.239.521.748.840;;C;1
191;1;Passenger 191;male;61.0;1;2;Ticket 191;15.811.549.105.732.000;C85;S;0
192;2;Passenger 192;male;61.2;0;4;Ticket 192;1.439.146.120.388.750;E34;C;1
193;1;Passenger 193;female;63.3;4;4;Ticket 193;48.625.370.606.209.600;F33;Q;0
194;1;Passenger 194;male;74.5;3;0;Ticket 194;809.155.895.707.941;C85;S;0
195;3;Passenger 195;male;10.3;2;1;Ticket 195;36.799.731.481.484.600;F33;C;1
196;2;Passenger 196;male;19.3;3;4;Ticket 196;5.203.093.272.391.560;;Q;1
197;3;Passenger 197;male;72.4;3;4;Ticket 197;30.011.042.135.417.600;E34;Q;0
198;3;Passenger 198;female;15.0;4;0;Ticket 198;45.839.178.695.725.500;D56;C;0
199;2;Passenger 199;female;54.9;1;1;Ticket 199;1.475.273.765.761.430;;S;1
200;1;Passenger 200;male;42.9;2;3;Ticket 200;96.835.357.752.571;C85;Q;0
201;1;Passenger 201;male;7.6;1;3;Ticket 201;3.275.814.984.648.210;D56;Q;0
202;2;Passenger 202;male;23.5;3;1;Ticket 202;3.577.376.966.127.040;B12;Q;0
203;1;Passenger 203;male;42.1;0;2;Ticket 203;34.557.510.688.123.000;D56;Q;0
204;2;Passenger 204;female;68.3;3;0;Ticket 204;16.306.185.561.058.000;C85;S;0
205;2;Passenger 205;female;56.9;1;1;Ticket 205;12.984.018.906.886.800;G7;C;0
206;3;Passenger 206;male;50.1;3;3;Ticket 206;47.817.980.598.121.100;D56;C;0
207;2;Passenger 207;male;40.2;0;4;Ticket 207;4.620.332.565.936.150;C85;C;0
208;3;Passenger 208;male;24.6;4;3;Ticket 208;23.137.172.189.694.600;G7;Q;0
209;1;Passenger 209;female;10.4;1;4;Ticket 209;4.238.659.637.464.140;;S;1
210;1;Passenger 210;male;33.3;3;0;Ticket 210;22.890.012.142.897.600;G7;C;0
211;1;Passenger 211;female;3.3;1;4;Ticket 211;21.507.256.394.589.200;E34;S;1
212;1;Passenger 212;male;17.7;4;1;Ticket 212;8.259.765.906.165.080;B12;C;1
213;3;Passenger 213;female;35.2;3;4;Ticket 213;21.607.099.796.352.600;G7;Q;0
214;1;Passenger 214;male;34.1;3;2;Ticket 214;27.102.138.460.690.400;E34;C;0
215;2;Passenger 215;female;4.5;1;1;Ticket 215;16.139.642.077.199.800;E34;Q;0
216;2;Passenger 216;male;47.5;1;0;Ticket 216;22.483.593.756.182.600;E34;Q;1
217;2;Passenger 217;male;44.4;0;1;Ticket 217;39.177.132.810.562.400;G7;C;1
218;3;Passenger 218;male;7.2;4;2;Ticket 218;34.162.279.790.526.300;C85;S;0
219;1;Passenger 219;female;75.5;0;0;Ticket 219;3.194.027.094.876.470;C85;Q;1
220;1;Passenger 220;male;8.9;3;3;Ticket 220;45.522.993.707.641.500;B12;S;0
221;1;Passenger 221;female;68.5;1;2;Ticket 221;13.925.844.863.488.800;C85;C;0
222;3;Passenger 222;female;1.0;3;0;Ticket 222;2.807.385.551.651.550;F33;Q;1
223;2;Passenger 223;male;70.7;3;4;Ticket 223;39.473.767.996.280.500;C85;S;0
224;2;Passenger 224;male;2.6;2;1;Ticket 224;2.729.610.144.371.270;C85;Q;0
225;1;Passenger 225;male;60.9;2;0;Ticket 225;1.653.282.985.272.870;C85;C;0
226;2;Passenger 226;female;29.6;3;1;Ticket 226;7.244.402.972.052.900;;Q;1
227;2;Passenger 227;male;59.3;1;4;Ticket 227;4.443.437.205.490.140;B12;C;0
228;3;Passenger 228;female;32.7;3;0;Ticket 228;23.802.738.423.186.300;F33;S;1
229;3;Passenger 229;female;6.6;2;3;Ticket 229;4.396.670.225.079.220;C85;Q;0
230;3;Passenger 230;male;61.6;1;2;Ticket 230;2.949.968.006.044.180;B12;S;0
231;3;Passenger 231;male;6.6;3;0;Ticket 231;3.387.250.977.244.250;D56;C;1
232;1;Passenger 232;male;73.8;4;4;Ticket 232;40.310.927.141.733.200;;C;0
233;3;Passenger 233;male;5.0;4;0;Ticket 233;3.312.819.945.770.660;G7;S;1
234;2;Passenger 234;male;38.9;3;1;Ticket 234;20.203.714.613.607.400;C85;S;0
235;1;Passenger 235;male;58.1;1;0;Ticket 235;25.924.852.504.468.200;F33;C;0
236;2;Passenger 236;female;32.1;3;3;Ticket 236;4.025.075.347.145.600;;S;0
237;2;Passenger 237;female;18.2;3;0;Ticket 237;18.995.689.670.462.700;F33;C;1
238;2;Passenger 238;female;61.0;2;2;Ticket 238;19.712.012.110.040.600;G7;S;0
239;3;Passenger 239;male;63.0;4;0;Ticket 239;5.236.660.744.871.050;G7;C;1
240;3;Passenger 240;female;73.9;2;1;Ticket 240;4.577.192.954.347.650;;C;0
241;1;Passenger 241;female;30.7;2;0;Ticket 241;5.006.297.589.799.360;D56;Q;0
242;1;Passenger 242;female;41.0;3;3;Ticket 242;32.586.354.283.703.500;B12;C;0
243;3;Passenger 243;female;29.7;2;4;Ticket 243;20.953.126.700.738.400;;C;1
244;2;Passenger 244;female;21.3;4;0;Ticket 244;20.578.159.817.644.300;E34;Q;1
245;1;Passenger 245;male;60.3;2;0;Ticket 245;34.137.815.910.347.800;G7;Q;1
246;3;Passenger 246;male;27.8;4;2;Ticket 246;38.211.397.651.789.900;D56;S;0
247;3;Passenger 247;female;34.8;2;3;Ticket 247;29.888.436.256.096.000;G7;S;0
248;3;Passenger 248;female;32.9;4;4;Ticket 248;3.871.557.340.563.150;E34;C;0
249;2;Passenger 249;female;57.3;2;1;Ticket 249;41.496.531.515.386.400;D56;S;1
250;3;Passenger 250;male;73.5;2;0;Ticket 250;8.941.254.274.991.870;G7;S;0
251;3;Passenger 251;male;53.7;1;4;Ticket 251;449.222.429.788.696;E34;C;0
252;3;Passenger 252;female;38.3;4;1;Ticket 252;3.297.923.154.644.830;E34;Q;0
253;3;Passenger 253;male;62.6;4;3;Ticket 253;44.151.812.640.623.700;G7;Q;0
254;1;Passenger 254;male;51.6;4;3;Ticket 254;24.521.395.496.954.800;G7;C;0
255;1;Passenger 255;female;5.8;0;4;Ticket 255;273.306.505.823.115;F33;C;1
256;3;Passenger 256;male;8.6;2;1;Ticket 256;4.599.239.471.291.920;;C;0
257;2;Passenger 257;male;4.0;4;3;Ticket 257;45.045.522.396.056.200;;C;1
258;1;Passenger 258;female;37.1;0;4;Ticket 258;226.839.632.317.656;D56;C;1
259;3;Passenger 259;male;66.2;1;3;Ticket 259;14.083.425.265.966.200;B12;C;0
260;1;Passenger 260;male;25.7;4;3;Ticket 260;19.961.936.510.931.000;G7;S;0
261;1;Passenger 261;female;31.3;4;3;Ticket 261;1.969.433.426.222.260;F33;S;0
262;2;Passenger 262;male;72.8;0;2;Ticket 262;146.999.103.116.483;;S;1
263;3;Passenger 263;male;67.1;2;1;Ticket 263;13.794.690.414.481.800;;Q;0
264;3;Passenger 264;female;53.5;1;4;Ticket 264;43.122.615.355.746.100;F33;C;0
265;2;Passenger 265;female;22.1;4;4;Ticket 265;39.581.650.738.907.500;C85;C;0
266;2;Passenger 266;female;10.2;2;1;Ticket 266;3.404.175.351.392.990;F33;S;0
267;3;Passenger 267;male;2.3;1;1;Ticket 267;9.054.592.547.094.380;;Q;0
268;3;Passenger 268;female;9.5;3;1;Ticket 268;1.755.304.172.300.610;B12;S;0
269;2;Passenger 269;male;24.1;3;1;Ticket 269;3.546.380.189.674.420;C85;C;1
270;1;Passenger 270;female;44.6;1;0;Ticket 270;13.863.695.024.345.300;E34;C;1
271;1;Passenger 271;male;6.1;0;4;Ticket 271;38.536.843.020.303.400;F33;S;0
272;2;Passenger 272;female;11.8;1;0;Ticket 272;443.082.585.650.893;E34;S;0
273;1;Passenger 273;female;15.3;1;3;Ticket 273;11.465.594.019.167.100;C85;C;1
274;2;Passenger 274;female;50.9;0;3;Ticket 274;2.344.561.804.331.660;C85;S;0
275;1;Passenger 275;female;49.6;0;4;Ticket 275;23.781.040.372.891.700;C85;C;1
276;1;Passenger 276;male;44.5;2;3;Ticket 276;43.741.977.635.106.800;D56;S;0
277;3;Passenger 277;female;20.8;2;1;Ticket 277;3.825.855.311.735.230;F33;Q;1
278;3;Passenger 278;female;30.3;0;0;Ticket 278;2.589.732.230.921.840;G7;C;0
279;1;Passenger 279;male;8.6;3;1;Ticket 279;3.370.198.642.335.270;B12;Q;0
280;1;Passenger 280;female;18.9;3;3;Ticket 280;4.244.407.516.851.360;B12;S;1
281;3;Passenger 281;male;71.9;1;0;Ticket 281;9.721.782.242.644.740;E34;Q;0
282;3;Passenger 282;female;78.4;4;1;Ticket 282;20.443.056.536.977.400;E34;S;0
283;3;Passenger 283;female;52.2;1;4;Ticket 283;45.408.536.780.215.300;G7;Q;0
284;2;Passenger 284;female;73.4;1;1;Ticket 284;3.714.549.502.677.550;E34;Q;1
285;1;Passenger 285;male;51.8;4;3;Ticket 285;27.370.648.029.536.600;F33;Q;0
286;3;Passenger 286;female;3.6;0;0;Ticket 286;26.717.404.088.239.100;;C;1
287;1;Passenger 287;female;79.7;3;4;Ticket 287;1.771.461.983.141.960;E34;Q;0
288;2;Passenger 288;female;8.8;1;0;Ticket 288;26.265.766.415.254.900;C85;S;0
289;2;Passenger 289;male;54.9;4;4;Ticket 289;3.294.146.837.344.090;E34;S;1
290;3;Passenger 290;male;21.0;2;0;Ticket 290;21.208.970.402.225.200;C85;C;0
291;2;Passenger 291;female;32.0;1;3;Ticket 291;3.585.058.074.641.260;D56;C;0
292;1;Passenger 292;male;52.0;3;4;Ticket 292;431.309.952.493.891;;S;0
293;3;Passenger 293;female;35.5;0;2;Ticket 293;8.156.899.985.150.620;;Q;0
294;1;Passenger 294;female;20.8;1;0;Ticket 294;22.851.577.629.462.500;G7;S;0
295;1;Passenger 295;female;27.4;1;0;Ticket 295;20.696.994.518.611.500;F33;C;0
296;2;Passenger 296;female;28.0;4;1;Ticket 296;3.452.950.780.046.150;F33;C;0
